example file                                                                   
k1=1.0E13,k2=1.0E13,k3=500000.0,k4=1000.0,k5=1.0,
Iter,Time,a,b,c,d,m,n,p,
1,0.000000E+00,0.100000E-05,0.500000E-06,0.100000E-29,0.100000E-29,0.100000E-29,0.100000E-29,0.100000E-29,
2,0.100000E-08,0.995013E-06,0.495037E-06,0.596273E-08,0.493802E-08,0.247106E-10,0.247064E-10,0.412992E-14,
3,0.200000E-08,0.990050E-06,0.490148E-06,0.118518E-07,0.975411E-08,0.977021E-10,0.976693E-10,0.327490E-13,
4,0.300000E-08,0.985114E-06,0.485331E-06,0.176686E-07,0.144513E-07,0.217303E-09,0.217194E-09,0.109562E-12,
5,0.400000E-08,0.980204E-06,0.480586E-06,0.234144E-07,0.190325E-07,0.381893E-09,0.381636E-09,0.257437E-12,
6,0.500000E-08,0.975320E-06,0.475910E-06,0.290905E-07,0.235006E-07,0.589901E-09,0.589403E-09,0.498428E-12,
7,0.600000E-08,0.970462E-06,0.471302E-06,0.346981E-07,0.278583E-07,0.839804E-09,0.838950E-09,0.853808E-12,
8,0.700000E-08,0.965631E-06,0.466762E-06,0.402385E-07,0.321084E-07,0.113012E-08,0.112878E-08,0.134409E-11,
9,0.800000E-08,0.960828E-06,0.462287E-06,0.457129E-07,0.362534E-07,0.145943E-08,0.145744E-08,0.198905E-11,
10,0.900000E-08,0.956051E-06,0.457878E-06,0.511224E-07,0.402961E-07,0.182634E-08,0.182353E-08,0.280774E-11,
11,0.100000E-07,0.951302E-06,0.453532E-06,0.564683E-07,0.442388E-07,0.222949E-08,0.222568E-08,0.381856E-11,
12,0.110000E-07,0.946581E-06,0.449248E-06,0.617517E-07,0.480841E-07,0.266760E-08,0.266256E-08,0.503919E-11,
13,0.120000E-07,0.941887E-06,0.445026E-06,0.669737E-07,0.518343E-07,0.313939E-08,0.313290E-08,0.648667E-11,
14,0.130000E-07,0.937221E-06,0.440865E-06,0.721354E-07,0.554917E-07,0.364364E-08,0.363546E-08,0.817744E-11,
15,0.140000E-07,0.932583E-06,0.436762E-06,0.772378E-07,0.590586E-07,0.417916E-08,0.416903E-08,0.101273E-10,
16,0.150000E-07,0.927973E-06,0.432718E-06,0.822821E-07,0.625373E-07,0.474480E-08,0.473245E-08,0.123514E-10,
17,0.160000E-07,0.923391E-06,0.428731E-06,0.872692E-07,0.659297E-07,0.533946E-08,0.532459E-08,0.148644E-10,
18,0.170000E-07,0.918838E-06,0.424800E-06,0.922001E-07,0.692381E-07,0.596205E-08,0.594437E-08,0.176801E-10,
19,0.180000E-07,0.914313E-06,0.420924E-06,0.970759E-07,0.724644E-07,0.661153E-08,0.659072E-08,0.208123E-10,
20,0.190000E-07,0.909816E-06,0.417102E-06,0.101898E-06,0.756107E-07,0.728689E-08,0.726261E-08,0.242739E-10,
21,0.200000E-07,0.905347E-06,0.413334E-06,0.106666E-06,0.786788E-07,0.798712E-08,0.795905E-08,0.280775E-10,
22,0.210000E-07,0.900907E-06,0.409618E-06,0.111382E-06,0.816708E-07,0.871130E-08,0.867906E-08,0.322351E-10,
23,0.220000E-07,0.896495E-06,0.405953E-06,0.116047E-06,0.845883E-07,0.945848E-08,0.942172E-08,0.367584E-10,
24,0.230000E-07,0.892111E-06,0.402339E-06,0.120661E-06,0.874333E-07,0.102278E-07,0.101861E-07,0.416584E-10,
25,0.240000E-07,0.887756E-06,0.398774E-06,0.125226E-06,0.902074E-07,0.110183E-07,0.109714E-07,0.469459E-10,
26,0.250000E-07,0.883429E-06,0.395258E-06,0.129742E-06,0.929124E-07,0.118292E-07,0.117766E-07,0.526313E-10,
27,0.260000E-07,0.879131E-06,0.391790E-06,0.134210E-06,0.955499E-07,0.126597E-07,0.126010E-07,0.587246E-10,
28,0.270000E-07,0.874860E-06,0.388369E-06,0.138631E-06,0.981213E-07,0.135092E-07,0.134439E-07,0.652318E-10,
29,0.280000E-07,0.870618E-06,0.384995E-06,0.143005E-06,0.100628E-06,0.143767E-07,0.143045E-07,0.721643E-10,
30,0.290000E-07,0.866404E-06,0.381666E-06,0.147334E-06,0.103073E-06,0.152616E-07,0.151820E-07,0.795308E-10,
31,0.300000E-07,0.862218E-06,0.378381E-06,0.151619E-06,0.105456E-06,0.161630E-07,0.160757E-07,0.873396E-10,
32,0.310000E-07,0.858060E-06,0.375141E-06,0.155859E-06,0.107779E-06,0.170804E-07,0.169848E-07,0.955989E-10,
33,0.320000E-07,0.853930E-06,0.371943E-06,0.160057E-06,0.110044E-06,0.180130E-07,0.179087E-07,0.104316E-09,
34,0.330000E-07,0.849828E-06,0.368788E-06,0.164212E-06,0.112252E-06,0.189601E-07,0.188466E-07,0.113499E-09,
35,0.340000E-07,0.845754E-06,0.365675E-06,0.168325E-06,0.114404E-06,0.199212E-07,0.197980E-07,0.123155E-09,
36,0.350000E-07,0.841707E-06,0.362603E-06,0.172397E-06,0.116502E-06,0.208955E-07,0.207622E-07,0.133291E-09,
37,0.360000E-07,0.837688E-06,0.359571E-06,0.176429E-06,0.118547E-06,0.218825E-07,0.217386E-07,0.143914E-09,
38,0.370000E-07,0.833696E-06,0.356578E-06,0.180422E-06,0.120540E-06,0.228818E-07,0.227268E-07,0.155024E-09,
39,0.380000E-07,0.829732E-06,0.353625E-06,0.184375E-06,0.122482E-06,0.238929E-07,0.237263E-07,0.166629E-09,
40,0.390000E-07,0.825795E-06,0.350710E-06,0.188290E-06,0.124375E-06,0.249152E-07,0.247364E-07,0.178735E-09,
41,0.400000E-07,0.821885E-06,0.347833E-06,0.192167E-06,0.126219E-06,0.259480E-07,0.257566E-07,0.191348E-09,
42,0.410000E-07,0.818002E-06,0.344992E-06,0.196008E-06,0.128017E-06,0.269908E-07,0.267863E-07,0.204473E-09,
43,0.420000E-07,0.814145E-06,0.342189E-06,0.199811E-06,0.129768E-06,0.280432E-07,0.278251E-07,0.218116E-09,
44,0.430000E-07,0.810316E-06,0.339421E-06,0.203579E-06,0.131475E-06,0.291047E-07,0.288724E-07,0.232281E-09,
45,0.440000E-07,0.806513E-06,0.336688E-06,0.207312E-06,0.133137E-06,0.301747E-07,0.299277E-07,0.246973E-09,
46,0.450000E-07,0.802737E-06,0.333990E-06,0.211010E-06,0.134757E-06,0.312528E-07,0.309906E-07,0.262196E-09,
47,0.460000E-07,0.798987E-06,0.331326E-06,0.214674E-06,0.136336E-06,0.323386E-07,0.320606E-07,0.277954E-09,
