example file                                                                   ,,,
k1=1.8,k2=0.9,,
Iter,Time,a,b
1,0.00E+00,1.00E+00,0.00E+00
2,0.00E+00,1.00E+00,1.00E-30
3,5.00E-01,5.06E-01,4.94E-01
4,1.00E+00,3.78E-01,6.22E-01
5,1.50E+00,3.45E-01,6.55E-01
6,2.00E+00,3.36E-01,6.64E-01
7,2.50E+00,3.34E-01,6.66E-01
8,3.00E+00,3.33E-01,6.67E-01
9,3.50E+00,3.33E-01,6.67E-01
10,4.00E+00,3.33E-01,6.67E-01
11,4.50E+00,3.33E-01,6.67E-01
12,5.00E+00,3.33E-01,6.67E-01
13,5.50E+00,3.33E-01,6.67E-01
14,6.00E+00,3.33E-01,6.67E-01
15,6.50E+00,3.33E-01,6.67E-01
16,7.00E+00,3.33E-01,6.67E-01
17,7.50E+00,3.33E-01,6.67E-01
18,8.00E+00,3.33E-01,6.67E-01
19,8.50E+00,3.33E-01,6.67E-01
20,9.00E+00,3.33E-01,6.67E-01
21,9.50E+00,3.33E-01,6.67E-01
